,trade_day
532,20070321
533,20070322
534,20070323
535,20070326
536,20070327
537,20070328
538,20070329
539,20070330
540,20070402
541,20070403
542,20070404
543,20070405
544,20070406
545,20070409
546,20070410
547,20070411
548,20070412
549,20070413
550,20070416
551,20070417
552,20070418
553,20070419
554,20070420
555,20070423
556,20070424
557,20070425
558,20070426
559,20070427
560,20070430
561,20070508
562,20070509
563,20070510
564,20070511
565,20070514
566,20070515
567,20070516
568,20070517
569,20070518
570,20070521
571,20070522
572,20070523
573,20070524
574,20070525
575,20070528
576,20070529
577,20070530
578,20070531
579,20070601
580,20070604
581,20070605
582,20070606
583,20070607
584,20070608
585,20070611
586,20070612
587,20070613
588,20070614
589,20070615
590,20070618
591,20070619
592,20070620
593,20070621
594,20070622
595,20070625
596,20070626
597,20070627
598,20070628
599,20070629
600,20070702
601,20070703
602,20070704
603,20070705
604,20070706
605,20070709
606,20070710
607,20070711
608,20070712
609,20070713
610,20070716
611,20070717
612,20070718
613,20070719
614,20070720
615,20070723
616,20070724
617,20070725
618,20070726
619,20070727
620,20070730
621,20070731
622,20070801
623,20070802
624,20070803
625,20070806
626,20070807
627,20070808
628,20070809
629,20070810
630,20070813
631,20070814
632,20070815
633,20070816
634,20070817
635,20070820
636,20070821
637,20070822
638,20070823
639,20070824
640,20070827
641,20070828
642,20070829
643,20070830
644,20070831
645,20070903
646,20070904
647,20070905
648,20070906
649,20070907
650,20070910
651,20070911
652,20070912
653,20070913
654,20070914
655,20070917
656,20070918
657,20070919
658,20070920
659,20070921
660,20070924
661,20070925
662,20070926
663,20070927
664,20070928
665,20071008
666,20071009
667,20071010
668,20071011
669,20071012
670,20071015
671,20071016
672,20071017
673,20071018
674,20071019
675,20071022
676,20071023
677,20071024
678,20071025
679,20071026
680,20071029
681,20071030
682,20071031
683,20071101
684,20071102
685,20071105
686,20071106
687,20071107
688,20071108
689,20071109
690,20071112
691,20071113
692,20071114
693,20071115
694,20071116
695,20071119
696,20071120
697,20071121
698,20071122
699,20071123
700,20071126
701,20071127
702,20071128
703,20071129
704,20071130
705,20071203
706,20071204
707,20071205
708,20071206
709,20071207
710,20071210
711,20071211
712,20071212
713,20071213
714,20071214
715,20071217
716,20071218
717,20071219
718,20071220
719,20071221
720,20071224
721,20071225
722,20071226
723,20071227
724,20071228
725,20080102
726,20080103
727,20080104
728,20080107
729,20080108
730,20080109
731,20080110
732,20080111
733,20080114
734,20080115
735,20080116
736,20080117
737,20080118
738,20080121
739,20080122
740,20080123
741,20080124
742,20080125
743,20080128
744,20080129
745,20080130
746,20080131
747,20080201
748,20080204
749,20080205
750,20080213
751,20080214
752,20080215
753,20080218
754,20080219
