,trade_day
2122,20131009
2123,20131010
2124,20131011
2125,20131014
2126,20131015
2127,20131016
2128,20131017
2129,20131018
2130,20131021
2131,20131022
2132,20131023
2133,20131024
2134,20131025
2135,20131028
2136,20131029
2137,20131030
2138,20131031
2139,20131101
2140,20131104
2141,20131105
2142,20131106
2143,20131107
2144,20131108
2145,20131111
2146,20131112
2147,20131113
2148,20131114
2149,20131115
2150,20131118
2151,20131119
2152,20131120
2153,20131121
2154,20131122
2155,20131125
2156,20131126
2157,20131127
2158,20131128
2159,20131129
2160,20131202
2161,20131203
2162,20131204
2163,20131205
2164,20131206
2165,20131209
2166,20131210
2167,20131211
2168,20131212
2169,20131213
2170,20131216
2171,20131217
2172,20131218
2173,20131219
2174,20131220
2175,20131223
2176,20131224
2177,20131225
2178,20131226
2179,20131227
2180,20131230
2181,20131231
2182,20140102
2183,20140103
2184,20140106
2185,20140107
2186,20140108
2187,20140109
2188,20140110
2189,20140113
2190,20140114
2191,20140115
2192,20140116
2193,20140117
2194,20140120
2195,20140121
2196,20140122
2197,20140123
2198,20140124
2199,20140127
2200,20140128
2201,20140129
2202,20140130
2203,20140207
2204,20140210
2205,20140211
2206,20140212
2207,20140213
2208,20140214
2209,20140217
2210,20140218
2211,20140219
2212,20140220
2213,20140221
2214,20140224
2215,20140225
2216,20140226
2217,20140227
2218,20140228
2219,20140303
2220,20140304
2221,20140305
2222,20140306
2223,20140307
2224,20140310
2225,20140311
2226,20140312
2227,20140313
2228,20140314
2229,20140317
2230,20140318
2231,20140319
2232,20140320
2233,20140321
2234,20140324
2235,20140325
2236,20140326
2237,20140327
2238,20140328
2239,20140331
2240,20140401
2241,20140402
2242,20140403
2243,20140404
2244,20140408
2245,20140409
2246,20140410
2247,20140411
2248,20140414
2249,20140415
2250,20140416
2251,20140417
2252,20140418
2253,20140421
2254,20140422
2255,20140423
2256,20140424
2257,20140425
2258,20140428
2259,20140429
2260,20140430
2261,20140505
2262,20140506
2263,20140507
2264,20140508
2265,20140509
2266,20140512
2267,20140513
2268,20140514
2269,20140515
2270,20140516
2271,20140519
2272,20140520
2273,20140521
2274,20140522
2275,20140523
2276,20140526
2277,20140527
2278,20140528
2279,20140529
2280,20140530
2281,20140603
2282,20140604
2283,20140605
2284,20140606
2285,20140609
2286,20140610
2287,20140611
2288,20140612
2289,20140613
2290,20140616
2291,20140617
2292,20140618
2293,20140619
2294,20140620
2295,20140623
2296,20140624
2297,20140625
2298,20140626
2299,20140627
2300,20140630
2301,20140701
2302,20140702
2303,20140703
2304,20140704
2305,20140707
2306,20140708
2307,20140709
2308,20140710
2309,20140711
2310,20140714
2311,20140715
2312,20140716
2313,20140717
2314,20140718
2315,20140721
2316,20140722
2317,20140723
2318,20140724
2319,20140725
2320,20140728
2321,20140729
2322,20140730
2323,20140731
2324,20140801
2325,20140804
2326,20140805
2327,20140806
2328,20140807
2329,20140808
2330,20140811
2331,20140812
2332,20140813
2333,20140814
2334,20140815
2335,20140818
2336,20140819
2337,20140820
2338,20140821
2339,20140822
2340,20140825
2341,20140826
2342,20140827
2343,20140828
2344,20140829
2345,20140901
2346,20140902
2347,20140903
2348,20140904
2349,20140905
2350,20140909
2351,20140910
2352,20140911
2353,20140912
2354,20140915
2355,20140916
2356,20140917
2357,20140918
2358,20140919
2359,20140922
2360,20140923
2361,20140924
2362,20140925
2363,20140926
2364,20140929
2365,20140930
2366,20141008
2367,20141009
2368,20141010
2369,20141013
2370,20141014
2371,20141015
2372,20141016
2373,20141017
2374,20141020
2375,20141021
2376,20141022
2377,20141023
2378,20141024
2379,20141027
2380,20141028
2381,20141029
2382,20141030
2383,20141031
2384,20141103
2385,20141104
2386,20141105
2387,20141106
2388,20141107
2389,20141110
2390,20141111
2391,20141112
2392,20141113
2393,20141114
2394,20141117
2395,20141118
2396,20141119
2397,20141120
2398,20141121
2399,20141124
2400,20141125
2401,20141126
2402,20141127
2403,20141128
2404,20141201
2405,20141202
2406,20141203
2407,20141204
2408,20141205
2409,20141208
2410,20141209
2411,20141210
2412,20141211
2413,20141212
2414,20141215
2415,20141216
2416,20141217
2417,20141218
2418,20141219
2419,20141222
2420,20141223
2421,20141224
2422,20141225
2423,20141226
2424,20141229
2425,20141230
2426,20141231
2427,20150105
2428,20150106
2429,20150107
2430,20150108
2431,20150109
2432,20150112
2433,20150113
2434,20150114
2435,20150115
2436,20150116
2437,20150119
2438,20150120
2439,20150121
2440,20150122
2441,20150123
2442,20150126
2443,20150127
2444,20150128
2445,20150129
2446,20150130
2447,20150202
2448,20150203
2449,20150204
2450,20150205
2451,20150206
2452,20150209
2453,20150210
2454,20150211
2455,20150212
2456,20150213
2457,20150216
2458,20150217
2459,20150225
2460,20150226
2461,20150227
2462,20150302
2463,20150303
2464,20150304
2465,20150305
2466,20150306
2467,20150309
2468,20150310
2469,20150311
2470,20150312
2471,20150313
2472,20150316
2473,20150317
2474,20150318
2475,20150319
2476,20150320
2477,20150323
2478,20150324
2479,20150325
2480,20150326
2481,20150327
2482,20150330
2483,20150331
2484,20150401
2485,20150402
2486,20150403
2487,20150407
2488,20150408
2489,20150409
2490,20150410
2491,20150413
2492,20150414
2493,20150415
2494,20150416
2495,20150417
2496,20150420
2497,20150421
2498,20150422
2499,20150423
2500,20150424
2501,20150427
2502,20150428
2503,20150429
2504,20150430
2505,20150504
2506,20150505
2507,20150506
2508,20150507
2509,20150508
2510,20150511
2511,20150512
2512,20150513
2513,20150514
2514,20150515
2515,20150518
2516,20150519
2517,20150520
2518,20150521
2519,20150522
2520,20150525
2521,20150526
2522,20150527
2523,20150528
2524,20150529
2525,20150601
2526,20150602
2527,20150603
2528,20150604
2529,20150605
2530,20150608
2531,20150609
2532,20150610
2533,20150611
2534,20150612
2535,20150615
2536,20150616
2537,20150617
2538,20150618
2539,20150619
2540,20150623
2541,20150624
2542,20150625
2543,20150626
2544,20150629
2545,20150630
2546,20150701
2547,20150702
2548,20150703
2549,20150706
2550,20150707
2551,20150708
2552,20150709
2553,20150710
2554,20150713
2555,20150714
2556,20150715
2557,20150716
2558,20150717
2559,20150720
2560,20150721
2561,20150722
2562,20150723
2563,20150724
2564,20150727
2565,20150728
2566,20150729
2567,20150730
2568,20150731
2569,20150803
2570,20150804
2571,20150805
2572,20150806
2573,20150807
2574,20150810
2575,20150811
2576,20150812
2577,20150813
2578,20150814
2579,20150817
2580,20150818
2581,20150819
2582,20150820
2583,20150821
2584,20150824
2585,20150825
2586,20150826
2587,20150827
2588,20150828
2589,20150831
2590,20150901
2591,20150902
2592,20150907
2593,20150908
2594,20150909
2595,20150910
2596,20150911
2597,20150914
2598,20150915
2599,20150916
2600,20150917
2601,20150918
2602,20150921
2603,20150922
2604,20150923
2605,20150924
2606,20150925
2607,20150928
2608,20150929
2609,20150930
2610,20151008
2611,20151009
2612,20151012
2613,20151013
2614,20151014
2615,20151015
2616,20151016
2617,20151019
2618,20151020
2619,20151021
2620,20151022
2621,20151023
2622,20151026
2623,20151027
2624,20151028
2625,20151029
2626,20151030
2627,20151102
2628,20151103
2629,20151104
2630,20151105
2631,20151106
2632,20151109
2633,20151110
2634,20151111
2635,20151112
2636,20151113
2637,20151116
2638,20151117
2639,20151118
2640,20151119
2641,20151120
2642,20151123
2643,20151124
2644,20151125
2645,20151126
2646,20151127
2647,20151130
2648,20151201
2649,20151202
2650,20151203
2651,20151204
2652,20151207
2653,20151208
2654,20151209
2655,20151210
2656,20151211
2657,20151214
2658,20151215
2659,20151216
2660,20151217
2661,20151218
2662,20151221
2663,20151222
2664,20151223
2665,20151224
2666,20151225
2667,20151228
2668,20151229
2669,20151230
2670,20151231
2671,20160104
2672,20160105
2673,20160106
2674,20160107
2675,20160108
2676,20160111
2677,20160112
2678,20160113
2679,20160114
2680,20160115
2681,20160118
2682,20160119
2683,20160120
2684,20160121
2685,20160122
2686,20160125
2687,20160126
2688,20160127
2689,20160128
2690,20160129
2691,20160201
2692,20160202
2693,20160203
2694,20160204
2695,20160205
2696,20160215
2697,20160216
2698,20160217
2699,20160218
2700,20160219
2701,20160222
2702,20160223
2703,20160224
2704,20160225
2705,20160226
2706,20160229
2707,20160301
2708,20160302
2709,20160303
2710,20160304
2711,20160307
2712,20160308
2713,20160309
2714,20160310
2715,20160311
2716,20160314
2717,20160315
2718,20160316
2719,20160317
2720,20160318
2721,20160321
2722,20160322
2723,20160323
2724,20160324
2725,20160325
2726,20160328
2727,20160329
2728,20160330
2729,20160331
2730,20160401
2731,20160405
2732,20160406
2733,20160407
2734,20160408
2735,20160411
2736,20160412
2737,20160413
2738,20160414
2739,20160415
2740,20160418
2741,20160419
2742,20160420
2743,20160421
2744,20160422
2745,20160425
2746,20160426
2747,20160427
2748,20160428
2749,20160429
2750,20160503
2751,20160504
2752,20160505
2753,20160506
2754,20160509
2755,20160510
2756,20160511
2757,20160512
2758,20160513
2759,20160516
2760,20160517
2761,20160518
2762,20160519
2763,20160520
2764,20160523
2765,20160524
2766,20160525
2767,20160526
2768,20160527
2769,20160530
2770,20160531
2771,20160601
2772,20160602
2773,20160603
2774,20160606
2775,20160607
2776,20160608
2777,20160613
2778,20160614
2779,20160615
2780,20160616
2781,20160617
2782,20160620
2783,20160621
2784,20160622
2785,20160623
2786,20160624
2787,20160627
2788,20160628
2789,20160629
2790,20160630
2791,20160701
2792,20160704
2793,20160705
2794,20160706
2795,20160707
2796,20160708
2797,20160711
2798,20160712
2799,20160713
2800,20160714
2801,20160715
2802,20160718
2803,20160719
2804,20160720
2805,20160721
2806,20160722
2807,20160725
2808,20160726
2809,20160727
2810,20160728
2811,20160729
2812,20160801
2813,20160802
2814,20160803
2815,20160804
2816,20160805
2817,20160808
2818,20160809
2819,20160810
2820,20160811
2821,20160812
2822,20160815
2823,20160816
2824,20160817
2825,20160818
2826,20160819
2827,20160822
2828,20160823
2829,20160824
2830,20160825
2831,20160826
2832,20160829
2833,20160830
2834,20160831
2835,20160901
2836,20160902
2837,20160905
2838,20160906
2839,20160907
2840,20160908
2841,20160909
2842,20160912
2843,20160913
2844,20160914
2845,20160919
2846,20160920
2847,20160921
2848,20160922
2849,20160923
2850,20160926
2851,20160927
2852,20160928
2853,20160929
2854,20160930
2855,20161010
2856,20161011
2857,20161012
2858,20161013
2859,20161014
2860,20161017
2861,20161018
2862,20161019
2863,20161020
2864,20161021
2865,20161024
2866,20161025
2867,20161026
2868,20161027
2869,20161028
2870,20161031
2871,20161101
2872,20161102
2873,20161103
2874,20161104
2875,20161107
2876,20161108
2877,20161109
2878,20161110
2879,20161111
2880,20161114
2881,20161115
2882,20161116
2883,20161117
2884,20161118
2885,20161121
2886,20161122
2887,20161123
2888,20161124
2889,20161125
2890,20161128
2891,20161129
2892,20161130
2893,20161201
2894,20161202
2895,20161205
2896,20161206
2897,20161207
2898,20161208
2899,20161209
2900,20161212
2901,20161213
2902,20161214
2903,20161215
2904,20161216
2905,20161219
2906,20161220
2907,20161221
2908,20161222
2909,20161223
2910,20161226
2911,20161227
2912,20161228
2913,20161229
2914,20161230
2915,20170103
2916,20170104
2917,20170105
2918,20170106
2919,20170109
2920,20170110
2921,20170111
2922,20170112
2923,20170113
2924,20170116
2925,20170117
2926,20170118
2927,20170119
2928,20170120
2929,20170123
2930,20170124
2931,20170125
2932,20170126
2933,20170203
2934,20170206
2935,20170207
2936,20170208
2937,20170209
2938,20170210
2939,20170213
2940,20170214
2941,20170215
2942,20170216
2943,20170217
2944,20170220
2945,20170221
2946,20170222
2947,20170223
2948,20170224
2949,20170227
2950,20170228
2951,20170301
2952,20170302
2953,20170303
2954,20170306
2955,20170307
2956,20170308
2957,20170309
2958,20170310
2959,20170313
2960,20170314
2961,20170315
2962,20170316
2963,20170317
2964,20170320
2965,20170321
2966,20170322
2967,20170323
2968,20170324
2969,20170327
2970,20170328
2971,20170329
2972,20170330
2973,20170331
2974,20170405
2975,20170406
2976,20170407
2977,20170410
2978,20170411
2979,20170412
2980,20170413
2981,20170414
2982,20170417
2983,20170418
2984,20170419
2985,20170420
2986,20170421
2987,20170424
2988,20170425
2989,20170426
2990,20170427
2991,20170428
2992,20170502
2993,20170503
2994,20170504
2995,20170505
2996,20170508
2997,20170509
2998,20170510
2999,20170511
3000,20170512
3001,20170515
3002,20170516
3003,20170517
3004,20170518
3005,20170519
3006,20170522
3007,20170523
3008,20170524
3009,20170525
3010,20170526
3011,20170531
3012,20170601
3013,20170602
3014,20170605
3015,20170606
3016,20170607
3017,20170608
3018,20170609
3019,20170612
3020,20170613
3021,20170614
3022,20170615
3023,20170616
3024,20170619
3025,20170620
3026,20170621
3027,20170622
3028,20170623
3029,20170626
3030,20170627
3031,20170628
3032,20170629
3033,20170630
3034,20170703
3035,20170704
3036,20170705
3037,20170706
3038,20170707
3039,20170710
3040,20170711
3041,20170712
3042,20170713
3043,20170714
3044,20170717
3045,20170718
3046,20170719
3047,20170720
3048,20170721
3049,20170724
3050,20170725
3051,20170726
3052,20170727
3053,20170728
3054,20170731
3055,20170801
3056,20170802
3057,20170803
3058,20170804
3059,20170807
3060,20170808
3061,20170809
3062,20170810
3063,20170811
3064,20170814
3065,20170815
3066,20170816
3067,20170817
3068,20170818
3069,20170821
3070,20170822
3071,20170823
3072,20170824
3073,20170825
3074,20170828
3075,20170829
3076,20170830
3077,20170831
3078,20170901
3079,20170904
3080,20170905
3081,20170906
3082,20170907
3083,20170908
3084,20170911
3085,20170912
3086,20170913
3087,20170914
3088,20170915
3089,20170918
3090,20170919
3091,20170920
3092,20170921
3093,20170922
3094,20170925
3095,20170926
3096,20170927
3097,20170928
3098,20170929
3099,20171009
3100,20171010
3101,20171011
3102,20171012
3103,20171013
3104,20171016
3105,20171017
3106,20171018
3107,20171019
3108,20171020
3109,20171023
3110,20171024
3111,20171025
3112,20171026
3113,20171027
3114,20171030
3115,20171031
3116,20171101
3117,20171102
3118,20171103
3119,20171106
3120,20171107
3121,20171108
3122,20171109
3123,20171110
3124,20171113
3125,20171114
3126,20171115
3127,20171116
3128,20171117
3129,20171120
3130,20171121
3131,20171122
3132,20171123
3133,20171124
3134,20171127
3135,20171128
3136,20171129
3137,20171130
3138,20171201
3139,20171204
3140,20171205
3141,20171206
3142,20171207
3143,20171208
3144,20171211
3145,20171212
3146,20171213
3147,20171214
3148,20171215
3149,20171218
3150,20171219
3151,20171220
3152,20171221
3153,20171222
3154,20171225
3155,20171226
3156,20171227
3157,20171228
3158,20171229
3159,20180102
3160,20180103
3161,20180104
3162,20180105
3163,20180108
3164,20180109
3165,20180110
3166,20180111
3167,20180112
3168,20180115
3169,20180116
3170,20180117
3171,20180118
3172,20180119
3173,20180122
3174,20180123
3175,20180124
3176,20180125
3177,20180126
3178,20180129
3179,20180130
3180,20180131
3181,20180201
3182,20180202
3183,20180205
3184,20180206
3185,20180207
3186,20180208
3187,20180209
3188,20180212
3189,20180213
3190,20180214
3191,20180219
3192,20180220
3193,20180221
3194,20180222
3195,20180223
3196,20180226
3197,20180227
3198,20180228
3199,20180301
3200,20180302
3201,20180305
3202,20180306
3203,20180307
3204,20180308
3205,20180309
3206,20180312
3207,20180313
3208,20180314
3209,20180315
3210,20180316
3211,20180319
3212,20180320
3213,20180321
3214,20180322
3215,20180323
3216,20180326
3217,20180327
3218,20180328
3219,20180329
3220,20180330
3221,20180402
3222,20180403
3223,20180404
3224,20180406
3225,20180409
3226,20180410
3227,20180411
3228,20180412
3229,20180413
3230,20180416
3231,20180417
3232,20180418
3233,20180419
3234,20180420
3235,20180423
3236,20180424
3237,20180425
3238,20180426
3239,20180427
3240,20180430
3241,20180502
3242,20180503
3243,20180504
3244,20180507
3245,20180508
3246,20180509
3247,20180510
3248,20180511
3249,20180514
3250,20180515
3251,20180516
3252,20180517
3253,20180518
3254,20180521
3255,20180522
3256,20180523
3257,20180524
3258,20180525
3259,20180528
3260,20180529
3261,20180530
3262,20180531
3263,20180601
3264,20180604
3265,20180605
3266,20180606
3267,20180607
3268,20180608
3269,20180611
3270,20180612
3271,20180613
3272,20180614
3273,20180615
3274,20180619
3275,20180620
3276,20180621
3277,20180622
3278,20180625
3279,20180626
3280,20180627
3281,20180628
3282,20180629
3283,20180702
3284,20180703
3285,20180704
3286,20180705
3287,20180706
3288,20180709
3289,20180710
3290,20180711
3291,20180712
3292,20180713
3293,20180716
3294,20180717
3295,20180718
3296,20180719
3297,20180720
3298,20180723
3299,20180724
3300,20180725
3301,20180726
3302,20180727
3303,20180730
3304,20180731
3305,20180801
3306,20180802
3307,20180803
3308,20180806
3309,20180807
3310,20180808
3311,20180809
3312,20180810
3313,20180813
3314,20180814
3315,20180815
3316,20180816
3317,20180817
3318,20180820
3319,20180821
3320,20180822
3321,20180823
3322,20180824
3323,20180827
3324,20180828
3325,20180829
3326,20180830
3327,20180831
3328,20180903
3329,20180904
3330,20180905
3331,20180906
3332,20180907
3333,20180910
3334,20180911
3335,20180912
3336,20180913
3337,20180914
3338,20180917
3339,20180918
3340,20180919
3341,20180920
3342,20180921
3343,20180925
3344,20180926
3345,20180927
3346,20180928
3347,20181002
3348,20181003
3349,20181004
3350,20181005
3351,20181008
3352,20181009
3353,20181010
3354,20181011
3355,20181012
3356,20181015
3357,20181016
3358,20181017
3359,20181018
3360,20181019
3361,20181022
3362,20181023
3363,20181024
3364,20181025
3365,20181026
3366,20181029
3367,20181030
3368,20181031
3369,20181101
3370,20181102
3371,20181105
3372,20181106
3373,20181107
3374,20181108
3375,20181109
3376,20181112
3377,20181113
3378,20181114
3379,20181115
3380,20181116
3381,20181119
3382,20181120
3383,20181121
3384,20181122
3385,20181123
3386,20181126
3387,20181127
3388,20181128
3389,20181129
3390,20181130
3391,20181203
3392,20181204
3393,20181205
3394,20181206
3395,20181207
3396,20181210
3397,20181211
3398,20181212
3399,20181213
3400,20181214
3401,20181217
3402,20181218
3403,20181219
3404,20181220
3405,20181221
3406,20181224
3407,20181225
3408,20181226
3409,20181227
3410,20181228
3411,20181231
