,ANN_DT,REPORT_PERIOD,IFLISTED_DATA,OPER_REV,NET_PROFIT_INCL_MIN_INT_INC,NET_PROFIT_EXCL_MIN_INT_INC,TOT_SHRHLDR_EQY_EXCL_MIN_INT,TOT_SHRHLDR_EQY_INCL_MIN_INT,S_INFO_COMPNAME,S_INFO_COMPCODE,OPDATE,OPMODE,code
1467,20140807,20140731,1,163605600.0,53216700.0,53216700.0,7358543000.0,7358543000.0,国金证券股份有限公司,1600109,2015-09-16 17:43:51,0,600109.SH
1468,20141015,20140930,1,1176378048.99,519614672.54,519614672.54,35106221052.5,35106221052.5,广发证券股份有限公司,1000776,2015-09-16 17:43:10,0,000776.SZ
1470,20141015,20140930,1,325685200.0,87174300.0,87174300.0,13337623858.5,13337623858.5,东吴证券股份有限公司,2024609,2015-09-16 17:43:13,0,601555.SH
1472,20141015,20140930,1,1238873700.0,655052800.0,655052800.0,63248542993.9,63248542993.9,海通证券股份有限公司,1600837,2015-09-16 17:42:57,0,600837.SH
1474,20140905,20140831,1,136065500.0,29026200.0,29026200.0,7551896100.0,7551896100.0,国金证券股份有限公司,1600109,2015-09-16 17:44:02,0,600109.SH
1475,20140905,20140831,1,101928900.0,37000000.0,37000000.0,6095629200.0,6095629200.0,太平洋证券股份有限公司,04955EEF73,2015-09-16 17:42:45,0,601099.SH
1478,20141107,20141031,1,1189287500.0,519571300.0,519571300.0,63859256100.0,63859256100.0,海通证券股份有限公司,1600837,2015-09-16 17:43:03,0,600837.SH
1479,20141205,20141130,1,371274500.0,180364400.0,180364400.0,16555164400.0,16555164400.0,国元证券股份有限公司,1000728,2015-09-16 17:42:23,0,000728.SZ
1481,20141205,20141130,1,1315352315.48,461166629.28,461166629.28,36578710506.7,36578710506.7,广发证券股份有限公司,1000776,2015-09-16 17:42:39,0,000776.SZ
1484,20141107,20141031,1,375852000.0,172205000.0,172205000.0,13396116800.0,13396116800.0,长江证券股份有限公司,1000783,2015-09-16 17:43:29,0,000783.SZ
1485,20141205,20141130,1,235856900.0,64581700.0,64581700.0,7965220000.0,7965220000.0,国金证券股份有限公司,1600109,2015-09-16 17:42:42,0,600109.SH
1486,20141107,20141031,1,179715634.47,55094184.68,55094184.68,6418958642.35,6418958642.35,国海证券股份有限公司,1000750,2015-09-16 17:43:08,0,000750.SZ
1487,20150206,20150131,1,552741500.0,316597400.0,316597400.0,30239242900.0,30239242900.0,方正证券股份有限公司,2002179,2015-09-16 17:43:42,0,601901.SH
1489,20150206,20150131,1,1615717000.0,781915800.0,781915800.0,32392950200.0,32392950200.0,国信证券股份有限公司,2002075,2015-09-16 17:43:23,0,002736.SZ
1492,20150307,20150228,1,1195264000.0,543144200.0,543144200.0,32987215300.0,32987215300.0,国信证券股份有限公司,2002075,2015-09-16 17:42:59,0,002736.SZ
1494,20150110,20141231,1,359420700.0,132589600.0,132589600.0,13807821790.7,13807821790.7,东吴证券股份有限公司,2024609,2015-09-16 17:43:28,0,601555.SH
1495,20150113,20141231,1,2228695099.96,990601212.76,990601212.76,37085784571.2,37085784571.2,华泰证券股份有限公司,2002077,2015-09-16 17:43:32,0,601688.SH
1498,20150306,20150228,1,1282620500.0,744567300.0,744567300.0,66826917100.0,66826917100.0,海通证券股份有限公司,1600837,2015-09-16 17:44:07,0,600837.SH
1499,20150113,20141231,1,213026300.0,95848500.0,95848500.0,6392434468.09,6392434468.09,太平洋证券股份有限公司,04955EEF73,2015-09-16 17:43:45,0,601099.SH
1501,20150310,20150228,1,155450000.0,71070000.0,71070000.0,11737750000.0,11737750000.0,东兴证券股份有限公司,1uI61F44C3,2015-09-16 17:42:48,0,601198.SH
1502,20150110,20141231,1,639290000.0,134119400.0,134119400.0,29977334096.4,29977334096.4,方正证券股份有限公司,2002179,2015-09-16 17:43:58,0,601901.SH
1504,20150110,20141231,1,2044666700.0,734760600.0,734760600.0,65022463630.9,65022463630.9,海通证券股份有限公司,1600837,2015-09-16 17:43:18,0,600837.SH
1505,20150306,20150228,1,440802600.0,199013800.0,199013800.0,16765763200.0,16765763200.0,西南证券股份有限公司,1600369,2015-09-16 17:42:30,0,600369.SH
1506,20150606,20150531,1,627450000.0,271950000.0,271950000.0,12715760000.0,12715760000.0,东兴证券股份有限公司,1uI61F44C3,2015-09-16 17:42:49,0,601198.SH
1507,20150606,20150531,1,962034800.0,359607000.0,359607000.0,17692771500.0,17692771500.0,西南证券股份有限公司,1600369,2015-09-16 17:42:28,0,600369.SH
1509,20150807,20150731,1,370126400.0,109039800.0,109039800.0,15984574800.0,15984574800.0,兴业证券股份有限公司,2023060,2015-09-16 17:42:19,0,601377.SH
1510,20150807,20150731,1,284340400.0,114834200.0,114834200.0,15297112000.0,15297112000.0,东吴证券股份有限公司,2024609,2015-09-16 17:42:34,0,601555.SH
1512,20150807,20150731,1,331542300.0,131973100.0,131973100.0,18388081000.0,18388081000.0,国元证券股份有限公司,1000728,2015-09-16 17:43:27,0,000728.SZ
1513,20150807,20150731,1,2341675248.26,1000283564.72,1000283564.72,72198193633.8,72198193633.8,华泰证券股份有限公司,2002077,2015-09-16 17:42:24,0,601688.SH
1514,20150807,20150731,1,354353619.38,148183725.01,148183725.01,12321181267.3,12321181267.3,国海证券股份有限公司,1000750,2015-09-16 17:43:13,0,000750.SZ
1515,20150807,20150731,1,600898100.0,241071400.0,241071400.0,15692507900.0,15692507900.0,长江证券股份有限公司,1000783,2015-09-16 17:43:51,0,000783.SZ
1518,20150807,20150731,1,3631770000.0,1504260000.0,1504260000.0,1.0554474e+11,1.0554474e+11,中信证券股份有限公司,08D39EC855,2015-09-16 17:43:43,0,600030.SH
1522,20150807,20150731,1,519350400.0,118817700.0,118817700.0,11710838300.0,11710838300.0,西部证券股份有限公司,502030478,2015-09-16 17:43:23,0,002673.SZ
1523,20150807,20150731,1,400260000.0,212670000.0,212670000.0,10209270000.0,10209270000.0,东北证券股份有限公司,1000686,2015-09-16 17:43:52,0,000686.SZ
1524,20150807,20150731,1,452554800.0,298961400.0,298961400.0,18130212600.0,18130212600.0,西南证券股份有限公司,1600369,2015-09-16 17:42:36,0,600369.SH
1525,20150807,20150731,1,2153242900.0,1226952700.0,1226952700.0,44516348000.0,44516348000.0,国信证券股份有限公司,2002075,2015-09-16 17:43:46,0,002736.SZ
1527,20150807,20150731,0,1808480000.0,686360000.0,686360000.0,42770800000.0,42770800000.0,申万宏源证券有限公司,a1pXByJ0HN,2015-09-16 17:42:30,0,000166.SZ
1530,20150807,20150731,1,2421148763.22,778265079.7,778265079.7,69318992246.4,69318992246.4,广发证券股份有限公司,1000776,2015-09-16 17:43:10,0,000776.SZ
1531,20150807,20150731,1,604720200.0,242177600.0,242177600.0,15732747300.0,15732747300.0,国金证券股份有限公司,1600109,2015-09-16 17:43:21,0,600109.SH
1534,20150807,20150731,1,975717100.0,587895700.0,587895700.0,33336551500.0,33336551500.0,方正证券股份有限公司,2002179,2015-09-16 17:43:12,0,601901.SH
