,ANN_DT,REPORT_PERIOD,IFLISTED_DATA,OPER_REV,NET_PROFIT_INCL_MIN_INT_INC,NET_PROFIT_EXCL_MIN_INT_INC,TOT_SHRHLDR_EQY_EXCL_MIN_INT,TOT_SHRHLDR_EQY_INCL_MIN_INT,S_INFO_COMPNAME,S_INFO_COMPCODE,OPDATE,OPMODE,code
1662,20150605,20150531,1,545562700.0,276695900.0,276695900.0,11568346100.0,11568346100.0,西部证券股份有限公司,502030478,2015-09-16 17:42:46,0,002673.SZ
1663,20150605,20150531,1,403625132.47,199297822.13,199297822.13,7151347102.72,7151347102.72,国海证券股份有限公司,1000750,2015-09-16 17:42:54,0,000750.SZ
1664,20150605,20150531,1,796240000.0,430440000.0,430440000.0,10061250000.0,10061250000.0,东北证券股份有限公司,1000686,2015-09-16 17:43:20,0,000686.SZ
1666,20150605,20150531,1,739960300.0,367113900.0,367113900.0,15006700500.0,15006700500.0,长江证券股份有限公司,1000783,2015-09-16 17:43:13,0,000783.SZ
1667,20150605,20150531,1,3835771203.03,1845842319.14,1845842319.14,68264775796.4,68264775796.4,广发证券股份有限公司,1000776,2015-09-16 17:43:40,0,000776.SZ
1669,20150605,20150531,1,595624800.0,322695200.0,322695200.0,18145379000.0,18145379000.0,国元证券股份有限公司,1000728,2015-09-16 17:43:53,0,000728.SZ
1670,20150605,20150531,0,2320510000.0,948380000.0,948380000.0,41355900000.0,41355900000.0,申万宏源证券有限公司,a1pXByJ0HN,2015-09-16 17:42:19,0,000166.SZ
1672,20150605,20150531,1,697279000.0,387691000.0,387691000.0,15775040300.0,15775040300.0,东吴证券股份有限公司,2024609,2015-09-16 17:43:30,0,601555.SH
1673,20150605,20150531,1,1952528800.0,998303700.0,998303700.0,28068754600.0,28068754600.0,光大证券股份有限公司,0yJ94AEF7F,2015-09-16 17:42:52,0,601788.SH
1675,20150605,20150531,1,3258493200.0,1603186400.0,1603186400.0,97812525000.0,97812525000.0,海通证券股份有限公司,1600837,2015-09-16 17:43:09,0,600837.SH
